DBID	locus	strain	gene_name	gene_name2	proteins_molecular_weight	protein_length
S000000347	YBR143C	S. cerevisiae	SUP45	SUPpressor	48988.8	437
S000000348	YBR144C	S. cerevisiae			12321.4	104
S000000349	YBR145W	S. cerevisiae	ADH5	Alcohol DeHydrogenase	37642.5	351
S000000350	YBR146W	S. cerevisiae	MRPS9	"Mitochondrial Ribosomal Protein, Small subunit"	31952.8	278
S000000351	YBR147W	S. cerevisiae	RTC2	Restriction of Telomere Capping	33493.8	296
S000000352	YBR148W	S. cerevisiae	YSW1		70173.4	609
S000000353	YBR149W	S. cerevisiae	ARA1	D-ARAbinose dehydrogenase	38874.8	344
S000000354	YBR150C	S. cerevisiae	TBS1	ThiaBendazole Sensitive	126862.6	1094
S000000355	YBR151W	S. cerevisiae	APD1	Actin Patches Distal	35758.2	316
S000000356	YBR152W	S. cerevisiae	SPP381	Suppressor of PrP38-1	33764.3	291
S000000357	YBR153W	S. cerevisiae	RIB7	RIBoflavin biosynthesis	27114.5	244
S000000358	YBR154C	S. cerevisiae	RPB5	RNA Polymerase B	25085.4	215
S000000359	YBR155W	S. cerevisiae	CNS1	CyclophiliN Seven suppressor	44107.9	385
S000000360	YBR156C	S. cerevisiae	SLI15	Synthetically Lethal with Ipl1	79233.1	698
S000000361	YBR157C	S. cerevisiae	ICS2	Increased Copper Sensitivity	28781.3	255
S000000362	YBR158W	S. cerevisiae	AMN1	Antagonist of Mitotic exit Network	62703.2	549
S000000363	YBR159W	S. cerevisiae	IFA38		38722.7	347
S000000364	YBR160W	S. cerevisiae	CDC28	Cell Division Cycle	34064.8	298
S000000365	YBR161W	S. cerevisiae	CSH1	CSG1/SUR1 Homolog	44393.4	376
S000000366	YBR162C	S. cerevisiae	TOS1	Target Of Sbf	47968.8	455
S000000367	YBR163W	S. cerevisiae	EXO5	EXOnuclease V	67567.3	585
S000000368	YBR164C	S. cerevisiae	ARL1	ADP-Ribosylation factor-Like	20427.5	183
S000000369	YBR165W	S. cerevisiae	UBS1	UBiquitin-conjugating enzyme Suppressor	32202.9	277
S000000370	YBR166C	S. cerevisiae	TYR1	TYRosine	50917.7	452
S000000371	YBR167C	S. cerevisiae	POP7	Processing Of Precursor RNAs	15820.5	140
S000000372	YBR168W	S. cerevisiae	PEX32	PEroXisome related	48584.9	413
S000000373	YBR169C	S. cerevisiae	SSE2	Stress Seventy subfamily E	77607.4	693
S000000374	YBR170C	S. cerevisiae	NPL4	Nuclear Protein Localization	65763.8	580
S000000375	YBR171W	S. cerevisiae	SEC66	SECretory	24231.2	206
S000000376	YBR172C	S. cerevisiae	SMY2	Suppressor of MYo2-66	81404.9	740
S000000377	YBR173C	S. cerevisiae	UMP1	Ubiquitin-Mediated Proteolysis	16754	148
S000000378	YBR174C	S. cerevisiae			11456.4	104
S000000379	YBR175W	S. cerevisiae	SWD3	"Set1c, WD40 repeat protein"	34745.1	315
S000000380	YBR176W	S. cerevisiae	ECM31	ExtraCellular Mutant	34468.3	312
S000000381	YBR177C	S. cerevisiae	EHT1	Ethanol Hexanoyl Transferase	51256.7	451
S000000382	YBR178W	S. cerevisiae			14451.3	124
S000000383	YBR179C	S. cerevisiae	FZO1	FuZzy Onions homolog	97804.9	855
S000000384	YBR180W	S. cerevisiae	DTR1	DiTyRosine	63416.4	572
S000000385	YBR181C	S. cerevisiae	RPS6B	Ribosomal Protein of the Small subunit	27023.9	236
S000000386	YBR182C	S. cerevisiae	SMP1	Second MEF2-like Protein 1	49430.2	452
S000000387	YBR183W	S. cerevisiae	YPC1	Yeast Phyto-Ceramidase	36422.9	316
S000000388	YBR184W	S. cerevisiae			60654.7	523
S000000389	YBR185C	S. cerevisiae	MBA1	Multi-copy Bypass of AFG3	31827.6	278
S000000390	YBR186W	S. cerevisiae	PCH2	Pachytene CHeckpoint	63450	564
S000000391	YBR187W	S. cerevisiae	GDT1	Gcr1 Dependent Translation factor	30333.8	280
S000000392	YBR188C	S. cerevisiae	NTC20	Prp19p (NineTeen)-associated Complex	15969.1	140
S000000393	YBR189W	S. cerevisiae	RPS9B	Ribosomal Protein of the Small subunit	22313.1	195
S000000394	YBR190W	S. cerevisiae			11036.8	103
S000000395	YBR191W	S. cerevisiae	RPL21A	Ribosomal Protein of the Large subunit	18262.6	160
S000000396	YBR192W	S. cerevisiae	RIM2	Replication In Mitochondria	42120.2	377
S000000397	YBR193C	S. cerevisiae	MED8	MEDiator complex	25261.5	223
S000000398	YBR194W	S. cerevisiae	AIM4	Altered Inheritance rate of Mitochondria	14245.3	123
S000000399	YBR195C	S. cerevisiae	MSI1	Multicopy Suppressor of IRA1	47346.1	422
S000000400	YBR196C	S. cerevisiae	PGI1	PhosphoGlucoIsomerase	61289.6	554
S000000401	YBR197C	S. cerevisiae			24207.5	217
S000000402	YBR198C	S. cerevisiae	TAF5	TATA binding protein-Associated Factor	88967.7	798
S000000403	YBR199W	S. cerevisiae	KTR4	Kre Two Related	54525.2	464
S000000404	YBR200W	S. cerevisiae	BEM1	Bud EMergence	61612	551
S000000405	YBR201W	S. cerevisiae	DER1	Degradation in the Endoplasmic Reticulum	24393	211
S000000406	YBR202W	S. cerevisiae	MCM7	MiniChromosome Maintenance	94921.1	845
S000000407	YBR203W	S. cerevisiae	COS111	Ciclopirox Olamine Sensitive	104661.6	924
S000000408	YBR204C	S. cerevisiae	LDH1	Lipid Droplet Hydrolase	43282.2	375
S000000409	YBR205W	S. cerevisiae	KTR3	Kre Two Related	47490.8	404
S000000410	YBR206W	S. cerevisiae			11842.7	107
S000000411	YBR207W	S. cerevisiae	FTH1	FTR1 Homolog	51412.3	465
S000000412	YBR208C	S. cerevisiae	DUR12	Degradation of URea	201800.7	1835
S000000413	YBR209W	S. cerevisiae			12140.4	105
S000000414	YBR210W	S. cerevisiae	ERV15	ER Vesicle Protein	16349.5	142
S000000415	YBR211C	S. cerevisiae	AME1	Associated with Microtubules and Essential	37444.1	324
S000000416	YBR212W	S. cerevisiae	NGR1	Negative Growth Regulatory protein	75026.8	672
S000000417	YBR213W	S. cerevisiae	MET8	METhionine requiring	31914.1	274
S000000418	YBR214W	S. cerevisiae	SDS24	homolog of S. pombe SDS23	57195.9	527
S000000419	YBR215W	S. cerevisiae	HPC2	Histone Periodic Control	67790.3	625
S000000420	YBR216C	S. cerevisiae	YBP1	Yap1-Binding Protein	77730.1	674
S000000421	YBR217W	S. cerevisiae	ATG12	AuTophaGy related	21105	186
S000000422	YBR218C	S. cerevisiae	PYC2	PYruvate Carboxylase	130152	1180
S000000423	YBR219C	S. cerevisiae			14795.6	127
S000000424	YBR220C	S. cerevisiae			63026.3	560
S000000425	YBR221C	S. cerevisiae	PDB1	Pyruvate Dehydrogenase Beta subunit	40044.9	366
S000000426	YBR222C	S. cerevisiae	PCS60	Peroxisomal CoA-dependent Synthetase	60502.3	543
S000000427	YBR223C	S. cerevisiae	TDP1	Tyrosyl-DNA Phosphodiesterase	62338.9	544
S000000428	YBR224W	S. cerevisiae			19332.2	171
S000000429	YBR225W	S. cerevisiae			101241.5	900
S000000430	YBR226C	S. cerevisiae			15810.9	136
S000000431	YBR227C	S. cerevisiae	MCX1	Mitochondrial ClpX	57947.2	520
S000000432	YBR228W	S. cerevisiae	SLX1	Synthetic Lethal of unknown (X) function	35869.2	304
S000000433	YBR229C	S. cerevisiae	ROT2	Reversal Of Tor2 lethality	110240.7	954
S000000434	YBR230C	S. cerevisiae	OM14	Outer Membrane Protein of 14 kDa	14614.9	134
S000000435	YBR231C	S. cerevisiae	SWC5	SWr Complex	34330	303
S000000436	YBR232C	S. cerevisiae			12742.7	119
S000000437	YBR233W	S. cerevisiae	PBP2	Pbp1p Binding Protein	45782.7	413
S000000438	YBR234C	S. cerevisiae	ARC40	ARp2/3 Complex subunit	42473.4	384
S000000439	YBR235W	S. cerevisiae	VHC1	Vacuolar protein Homologous to CCC family	124011.8	1120
S000000440	YBR236C	S. cerevisiae	ABD1		50343.5	436
S000000441	YBR237W	S. cerevisiae	PRP5	Pre-mRNA Processing	96364.1	849
S000000442	YBR238C	S. cerevisiae			83760.2	731
S000000443	YBR239C	S. cerevisiae	ERT1	Ethanol Regulated Transcription factor	60321.9	529
S000000444	YBR240C	S. cerevisiae	THI2	THIamine metabolism	51835.4	450
S000000445	YBR241C	S. cerevisiae	VVS1	Vacuolar protein Vital for Stress response	53525.4	488
S000000446	YBR242W	S. cerevisiae			27575.9	238
S000000447	YBR243C	S. cerevisiae	ALG7	Asparagine-Linked Glycosylation	50374.4	448
S000000448	YBR244W	S. cerevisiae	GPX2	Glutathione PeroXidase	18410.3	162
S000000449	YBR245C	S. cerevisiae	ISW1	Imitation SWitch subfamily	131093.2	1129
S000000450	YBR246W	S. cerevisiae	RRT2	Regulator of rDNA Transcription	43294.5	387
S000000451	YBR247C	S. cerevisiae	ENP1	Essential Nuclear Protein	55107.9	483
S000000452	YBR248C	S. cerevisiae	HIS7	HIStidine requiring	61054.6	552
S000000453	YBR249C	S. cerevisiae	ARO4	AROmatic amino acid requiring	39747.7	370
S000000454	YBR250W	S. cerevisiae	SPO23	SPOrulation	59919.8	523
S000000455	YBR251W	S. cerevisiae	MRPS5	"Mitochondrial Ribosomal Protein, Small subunit"	34898.6	307
S000000456	YBR252W	S. cerevisiae	DUT1	DUTp pyrophosphatase	15307.5	147
S000000457	YBR253W	S. cerevisiae	SRB6	Suppressor of RNA polymerase B	13854.9	121
S000000458	YBR254C	S. cerevisiae	TRS20	TRapp Subunit	19699.4	175
S000000459	YBR255W	S. cerevisiae	MTC4	Maintenance of Telomere Capping	79054.3	694
S000000460	YBR256C	S. cerevisiae	RIB5	RIBoflavin biosynthesis	26188	238
S000000461	YBR257W	S. cerevisiae	POP4	Processing Of Precursor RNAs	32894.6	279
S000000462	YBR258C	S. cerevisiae	SHG1	"Set1c, Hypothetical G"	16423.5	142
S000000463	YBR259W	S. cerevisiae			80439.2	688
S000000464	YBR260C	S. cerevisiae	RGD1	Related GAP Domain	74624	666
S000000465	YBR261C	S. cerevisiae	TAE1	Translation Associated Element	26059	232
S000000466	YBR262C	S. cerevisiae	MIC12	MItochondrial contact site and Cristae organizing system	12389	106
S000000467	YBR263W	S. cerevisiae	SHM1	Serine HydroxyMethyltransferase	53693	490
S000000468	YBR264C	S. cerevisiae	YPT10	Yeast Protein Two	21834.3	199
S000000469	YBR265W	S. cerevisiae	TSC10	Temperature-sensitive Suppressors of Csg2 mutants	35968.9	320
S000000470	YBR266C	S. cerevisiae	SLM6	Synthetic Lethal with Mss4	16031.6	150
S000000471	YBR267W	S. cerevisiae	REI1	REquired for Isotropic bud growth	45854	393
S000000472	YBR268W	S. cerevisiae	MRPL37	"Mitochondrial Ribosomal Protein, Large subunit"	11955.9	105
S000000473	YBR269C	S. cerevisiae	SDH8	Succinate DeHydrogenase	15505.6	138
S000000474	YBR270C	S. cerevisiae	BIT2	Binding partner of Tor2p	61224.3	545
S000000475	YBR271W	S. cerevisiae	EFM2	Elongation Factor Methyltransferase	47954	419
S000000476	YBR272C	S. cerevisiae	HSM3	enHanced Spontaneous Mutability	55517	480
S000000477	YBR273C	S. cerevisiae	UBX7	UBiquitin regulatory X	50022.4	436
S000000478	YBR274W	S. cerevisiae	CHK1	CHeckpoint Kinase	60008.3	527
S000000479	YBR275C	S. cerevisiae	RIF1	RAP1-Interacting Factor	217911.8	1916
S000000480	YBR276C	S. cerevisiae	PPS1	Protein Phosphatase S phase	91682	807
S000000481	YBR277C	S. cerevisiae			14654.1	133
S000000482	YBR278W	S. cerevisiae	DPB3	DNA Polymerase B (II) subunit	22643.1	201
S000000483	YBR279W	S. cerevisiae	PAF1	RNA Polymerase II Associated Factor	51771.2	445
S000000484	YBR280C	S. cerevisiae	SAF1	SCF Associated Factor	70484.2	637
S000000485	YBR281C	S. cerevisiae	DUG2	Deficient in Utilization of Glutathione	98046.5	878
S000000486	YBR282W	S. cerevisiae	MRPL27	"Mitochondrial Ribosomal Protein, Large subunit"	16509.4	146
S000000487	YBR283C	S. cerevisiae	SSH1	Sec Sixty-one Homolog	53314.1	490
S000000488	YBR284W	S. cerevisiae			92895.7	797
S000000489	YBR285W	S. cerevisiae			16811	144
S000000490	YBR286W	S. cerevisiae	APE3	AminoPEptidase	60114.7	537
S000000491	YBR287W	S. cerevisiae			47493.6	427
S000000492	YBR288C	S. cerevisiae	APM3	clathrin Adaptor Protein complex Medium chain	54832.8	483
S000000493	YBR289W	S. cerevisiae	SNF5	Sucrose NonFermenting	102547	905
S000000494	YBR290W	S. cerevisiae	BSD2	Bypass Sod1p Defects	35742.8	321
S000000495	YBR291C	S. cerevisiae	CTP1	Citrate Transport Protein	32187.7	299
S000000496	YBR292C	S. cerevisiae			14429.2	123
S000000497	YBR293W	S. cerevisiae	VBA2	Vacuolar Basic Amino acid transporter	51697.6	474
S000000498	YBR294W	S. cerevisiae	SUL1	SULfate	95946.6	859
S000000499	YBR295W	S. cerevisiae	PCA1	P-type Cation-transporting ATPase	131878.8	1216
S000000500	YBR296C	S. cerevisiae	PHO89	PHOsphate metabolism	62649.9	574
S000000501	YBR297W	S. cerevisiae	MAL33	MALtose	54195.2	468
S000000502	YBR298C	S. cerevisiae	MAL31	MALtose fermentation	68258.5	614
S000000503	YBR299W	S. cerevisiae	MAL32	MALtose	68126.7	584
S000000504	YBR300C	S. cerevisiae			18892.3	165
S000000505	YBR301W	S. cerevisiae	PAU24	seriPAUperin family	12844.7	120
S000000506	YBR302C	S. cerevisiae	COS2	COnserved Sequence	45172.4	379
S000000507	YCL001W	S. cerevisiae	RER1	Retention in the Endoplasmic Reticulum	22272.4	188
S000000508	YCL002C	S. cerevisiae			30211.5	263
S000000510	YCL004W	S. cerevisiae	PGS1	PhosphatidylGlycerolphosphate Synthase	59398	521
S000000511	YCL005W	S. cerevisiae	LDB16	Low Dye Binding	29025.9	256
S000000513	YCL007C	S. cerevisiae			15487.5	130
S000000514	YCL008C	S. cerevisiae	STP22	STerile Pseudoreversion	43315.7	385
S000000515	YCL009C	S. cerevisiae	ILV6	IsoLeucine Valine	33982.2	309
S000000516	YCL010C	S. cerevisiae	SGF29	SaGa associated Factor	29375.4	259
S000000517	YCL011C	S. cerevisiae	GBP2	G-strand Binding Protein	48725.5	427
S000000520	YCL014W	S. cerevisiae	BUD3	BUD site selection	184697.4	1636
S000000521	YCL016C	S. cerevisiae	DCC1	Defective in sister Chromatid Cohesion	44068.2	380
S000000522	YCL017C	S. cerevisiae	NFS1	NiFS-like	54470.8	497
S000000523	YCL018W	S. cerevisiae	LEU2	LEUcine biosynthesis	38946.2	364
S000000527	YCL022C	S. cerevisiae			18908.1	171
S000000528	YCL023C	S. cerevisiae			13545.6	115
S000000529	YCL024W	S. cerevisiae	KCC4		116485.1	1037
S000000530	YCL025C	S. cerevisiae	AGP1	high-Affinity Glutamine Permease	69669	633
S000000532	YCL027W	S. cerevisiae	FUS1	cell FUSion	57793.2	512
S000000533	YCL028W	S. cerevisiae	RNQ1	Rich in asparagine (N) and glutamine (Q)	42577.4	405
S000000534	YCL029C	S. cerevisiae	BIK1	BIlateral Karyogamy defect	51078.6	440
S000000535	YCL030C	S. cerevisiae	HIS4	HIStidine requiring	87696.9	799
S000000536	YCL031C	S. cerevisiae	RRP7	Ribosomal RNA Processing	34476.8	297
S000000537	YCL032W	S. cerevisiae	STE50	STErile	38961.2	346
S000000538	YCL033C	S. cerevisiae	MXR2	peptide Methionine sulfoXide Reductase	19287.4	168
S000000539	YCL034W	S. cerevisiae	LSB5	Las Seventeen Binding protein	39863.5	354
S000000540	YCL035C	S. cerevisiae	GRX1	GlutaRedoXin	12374.3	110
S000000541	YCL036W	S. cerevisiae	GFD2	Great for Full DEAD box protein activity	64924.2	566
S000000542	YCL037C	S. cerevisiae	SRO9	Suppressor of rho3	48064.6	434
S000000543	YCL038C	S. cerevisiae	ATG22	AuTophaGy related	58848.1	528
S000000544	YCL039W	S. cerevisiae	GID7	Glucose Induced Degradation deficient	84500.3	745
S000000545	YCL040W	S. cerevisiae	GLK1	GLucoKinase	55367	500
S000000546	YCL041C	S. cerevisiae			19065.2	164
S000000547	YCL042W	S. cerevisiae			13372.5	119
S000000548	YCL043C	S. cerevisiae	PDI1	Protein Disulfide Isomerase	58176.2	522
S000000549	YCL044C	S. cerevisiae	MGR1	Mitochondrial Genome Required	47165.6	417
S000000550	YCL045C	S. cerevisiae	EMC1	ER Membrane protein Complex	87152.8	760
S000000551	YCL046W	S. cerevisiae			12052.1	107
S000000552	YCL047C	S. cerevisiae	POF1	Promoter Of Filamentation	29675.7	258
S000000553	YCL048W	S. cerevisiae	SPS22	SPorulation Specific 2 too (2)	52002.2	463
S000000554	YCL049C	S. cerevisiae			35637	312
S000000555	YCL050C	S. cerevisiae	APA1	AP4A phosphorylase	36475.7	321
S000000556	YCL051W	S. cerevisiae	LRE1	Laminarase REsistance	64795.9	583
S000000557	YCL052C	S. cerevisiae	PBN1	Protease B Non-derepressible	47911.7	416
S000000559	YCL054W	S. cerevisiae	SPB1	Suppressor of PaB1 mutant	96489	841
S000000560	YCL055W	S. cerevisiae	KAR4	KARyogamy	38676.6	335
S000000561	YCL056C	S. cerevisiae	PEX34	PEroXin	16604.1	144
S000000562	YCL057W	S. cerevisiae	PRD1	PRoteinase yscD	81916.2	712
S000000563	YCL058C	S. cerevisiae	FYV5	Function required for Yeast Viability	17139.5	152
S000000564	YCL059C	S. cerevisiae	KRR1	contains KRR-R motif	37173.7	316
S000000566	YCL061C	S. cerevisiae	MRC1	Mediator of the Replication Checkpoint	124279.5	1096
S000000568	YCL063W	S. cerevisiae	VAC17	VACuole related	47848.2	423
S000000569	YCL064C	S. cerevisiae	CHA1	Catabolism of Hydroxy Amino acids	39309.9	360
S000000570	YCL065W	S. cerevisiae			14358.6	122
S000000571	YCL066W	S. cerevisiae	HMLALPHA1	Hidden Mat Left ALPHA	20428.7	175
S000000572	YCL067C	S. cerevisiae	HMLALPHA2	Hidden Mat Left ALPHA	24291.4	210
S000000573	YCL068C	S. cerevisiae			30228.5	260
S000000574	YCL069W	S. cerevisiae	VBA3	Vacuolar Basic Amino acid transporter	50236.8	458
S000000575	YCL073C	S. cerevisiae	GEX1	Glutathione EXchanger	68934.9	615
S000000581	YCL076W	S. cerevisiae			28244.1	247
S000000589	YCL026C-A	S. cerevisiae	FRM2	Fatty acid Repression Mutant	21231.3	193
S000000594	YCR001W	S. cerevisiae			12523.1	104
S000000595	YCR002C	S. cerevisiae	CDC10	Cell Division Cycle	37016.2	322
S000000596	YCR003W	S. cerevisiae	MRPL32	"Mitochondrial Ribosomal Protein, Large subunit"	21455.4	183
S000000597	YCR004C	S. cerevisiae	YCP4		26352.3	247
S000000598	YCR005C	S. cerevisiae	CIT2	CITrate synthase	51405.7	460
S000000599	YCR006C	S. cerevisiae			18307.6	157
S000000600	YCR007C	S. cerevisiae			27557.6	239
S000000601	YCR008W	S. cerevisiae	SAT4		66690.9	603
S000000602	YCR009C	S. cerevisiae	RVS161	Reduced Viability on Starvation	30249.7	265
S000000603	YCR010C	S. cerevisiae	ADY2	Accumulation of DYads	30719.3	283
S000000604	YCR011C	S. cerevisiae	ADP1	ATP-Dependent Permease	117204.3	1049
S000000605	YCR012W	S. cerevisiae	PGK1	3-PhosphoGlycerate Kinase	44738.8	416
S000000606	YCR013C	S. cerevisiae			22788.9	215
S000000607	YCR014C	S. cerevisiae	POL4	POLymerase	67533.1	582
S000000608	YCR015C	S. cerevisiae	CTO1	Cold TOlerance	36278.8	317
S000000609	YCR016W	S. cerevisiae			33594.3	290
S000000610	YCR017C	S. cerevisiae	CWH43	Calcofluor White Hypersensitive	107866.1	953
S000000611	YCR018C	S. cerevisiae	SRD1		25535.4	221
S000000612	YCR019W	S. cerevisiae	MAK32	MAintenance of Killer	40778.7	363
S000000613	YCR020C	S. cerevisiae	PET18	PETite colonies	25214.7	215
S000000614	YCR020C-A	S. cerevisiae	MAK31	MAintenance of Killer	9722.7	88
S000000615	YCR021C	S. cerevisiae	HSP30	Heat Shock Protein	37032.9	332
S000000616	YCR022C	S. cerevisiae			13188.6	114
S000000617	YCR023C	S. cerevisiae			69217.3	611
S000000618	YCR024C	S. cerevisiae	SLM5	Synthetic Lethal with Mss4	56791.5	492
S000000619	YCR024C-A	S. cerevisiae	PMP1	Plasma Membrane Proteolipid	4505.7	40
S000000620	YCR025C	S. cerevisiae			16084.2	136
S000000621	YCR026C	S. cerevisiae	NPP1	ecto-Nucleotide Pyrophosphatase/Phosphodiesterase	84667.1	742
S000000622	YCR027C	S. cerevisiae	RHB1	RHeB homolog	23336	209
S000000623	YCR028C	S. cerevisiae	FEN2	FENpropimorph resistance	58256	512
S000000626	YCR030C	S. cerevisiae	SYP1	Suppressor of Yeast Profilin deletion	96143.5	870
S000000627	YCR031C	S. cerevisiae	RPS14A	Ribosomal Protein of the Small subunit	14549	137
S000000628	YCR032W	S. cerevisiae	BPH1	Beige Protein Homolog	250850	2167
S000000629	YCR033W	S. cerevisiae	SNT1	SaNT domains	138421.1	1226
S000000630	YCR034W	S. cerevisiae	ELO2	fatty acid ELOngation	40017.5	347
S000000631	YCR035C	S. cerevisiae	RRP43	Ribosomal RNA Processing	43993.4	394
S000000632	YCR036W	S. cerevisiae	RBK1	RiBoKinase	36913.3	333
S000000633	YCR037C	S. cerevisiae	PHO87	PHOsphate metabolism	102531.5	923
S000000634	YCR038C	S. cerevisiae	BUD5	BUD site selection	75047.8	642
S000000635	YCR039C	S. cerevisiae	MATALPHA2	MATing type protein ALPHA	24291.4	210
S000000636	YCR040W	S. cerevisiae	MATALPHA1	MATing type protein ALPHA	20428.7	175
S000000637	YCR041W	S. cerevisiae			12889.7	110
S000000638	YCR042C	S. cerevisiae	TAF2	TATA binding protein-Associated Factor	161435.5	1407
S000000639	YCR043C	S. cerevisiae			14774	127
S000000640	YCR044C	S. cerevisiae	PER1	protein Processing in the ER	42538.8	357
S000000641	YCR045C	S. cerevisiae	RRT12	Regulator of rDNA Transcription	55053.4	491
S000000642	YCR046C	S. cerevisiae	IMG1	Integrity of Mitochondrial Genome	19412.1	169
S000000643	YCR047C	S. cerevisiae	BUD23	BUD site selection	30749.6	275
S000000644	YCR048W	S. cerevisiae	ARE1	Acyl-coenzyme A: cholesterol acyl transferase-Related Enzyme	71619.6	610
S000000645	YCR049C	S. cerevisiae			15995.4	148
S000000646	YCR050C	S. cerevisiae			11725.2	102
S000000647	YCR051W	S. cerevisiae			24671.4	222
S000000648	YCR052W	S. cerevisiae	RSC6	Remodel the Structure of Chromatin	54136.3	483
S000000649	YCR053W	S. cerevisiae	THR4	THReonine requiring	57465.6	514
S000000650	YCR054C	S. cerevisiae	CTR86	Copper TRansport protein	65179	563
S000000653	YCR057C	S. cerevisiae	PWP2	Periodic tryptophan (W) Protein	103944	923
S000000655	YCR059C	S. cerevisiae	YIH1	Yeast Impact Homolog	28991.6	258
S000000656	YCR060W	S. cerevisiae	TAH1	Tpr-containing protein Associated with Hsp90	12510.3	111
S000000657	YCR061W	S. cerevisiae	TVS1	Transmembrane protein Vital for Stress response	70909.1	631
S000000659	YCR063W	S. cerevisiae	BUD31	BUD site selection	18462.8	157
S000000660	YCR064C	S. cerevisiae			15777.5	136
S000000661	YCR065W	S. cerevisiae	HCM1	High-Copy suppressor of Calmodulin	63645.9	564
S000000662	YCR066W	S. cerevisiae	RAD18	RADiation sensitive	55232.2	487
S000000663	YCR067C	S. cerevisiae	SED4	Suppressor of Erd2 Deletion	114022.8	1065
S000000664	YCR068W	S. cerevisiae	ATG15	AuTophaGy related	58417.6	520
S000000665	YCR069W	S. cerevisiae	CPR4	Cyclosporin-sensitive Proline Rotamase	35777.2	318
S000000667	YCR071C	S. cerevisiae	IMG2	Integrity of Mitochondrial Genome	16394.5	146
S000000668	YCR072C	S. cerevisiae	RSA4	RiboSome Assembly	57039.7	515
S000000669	YCR073C	S. cerevisiae	SSK22	Suppressor of Sensor Kinase	152721.4	1331
S000000671	YCR075C	S. cerevisiae	ERS1	ERd Suppressor	30121.6	260
